product_name,date,quantity_sold,price_per_kg
Tomato,2023-01-01,63,52
Potato,2023-01-01,477,103
Onion,2023-01-01,366,31
Carrot,2023-01-01,154,89
Cabbage,2023-01-01,468,12
Brinjal,2023-01-01,389,24
Cauliflower,2023-01-01,304,20
Spinach,2023-01-01,369,63
Beans,2023-01-01,175,24
Apple,2023-01-01,452,73
Banana,2023-01-01,249,94
Mango,2023-01-01,418,57
Orange,2023-01-01,385,61
Papaya,2023-01-01,156,88
Grapes,2023-01-01,342,36
Tomato,2023-01-02,178,37
Potato,2023-01-02,474,18
Onion,2023-01-02,337,39
Carrot,2023-01-02,329,49
Cabbage,2023-01-02,267,116
Brinjal,2023-01-02,370,77
Cauliflower,2023-01-02,333,95
Spinach,2023-01-02,496,50
Beans,2023-01-02,194,108
Apple,2023-01-02,77,101
Banana,2023-01-02,197,58
Mango,2023-01-02,170,36
Orange,2023-01-02,186,116
Papaya,2023-01-02,328,14
Grapes,2023-01-02,463,56
Tomato,2023-01-03,471,63
Potato,2023-01-03,203,30
Onion,2023-01-03,325,81
Carrot,2023-01-03,494,61
Cabbage,2023-01-03,67,104
Brinjal,2023-01-03,314,89
Cauliflower,2023-01-03,435,47
Spinach,2023-01-03,312,70
Beans,2023-01-03,412,54
Apple,2023-01-03,122,116
Banana,2023-01-03,464,109
Mango,2023-01-03,67,86
Orange,2023-01-03,399,40
Papaya,2023-01-03,195,82
Grapes,2023-01-03,372,55
Tomato,2023-01-04,199,53
Potato,2023-01-04,83,67
Onion,2023-01-04,390,42
Carrot,2023-01-04,342,96
Cabbage,2023-01-04,338,38
Brinjal,2023-01-04,55,79
Cauliflower,2023-01-04,182,44
Spinach,2023-01-04,400,80
Beans,2023-01-04,492,95
Apple,2023-01-04,82,68
Banana,2023-01-04,191,110
Mango,2023-01-04,488,59
Orange,2023-01-04,155,66
Papaya,2023-01-04,204,63
Grapes,2023-01-04,399,118
Tomato,2023-01-05,384,63
Potato,2023-01-05,399,57
Onion,2023-01-05,202,106
Carrot,2023-01-05,82,15
Cabbage,2023-01-05,415,57
Brinjal,2023-01-05,393,95
Cauliflower,2023-01-05,353,87
Spinach,2023-01-05,492,32
Beans,2023-01-05,374,67
Apple,2023-01-05,75,83
Banana,2023-01-05,334,24
Mango,2023-01-05,158,51
Orange,2023-01-05,238,89
Papaya,2023-01-05,219,57
Grapes,2023-01-05,342,82
Tomato,2023-01-06,335,120
Potato,2023-01-06,279,42
Onion,2023-01-06,340,67
Carrot,2023-01-06,393,120
Cabbage,2023-01-06,288,28
Brinjal,2023-01-06,192,38
Cauliflower,2023-01-06,233,21
Spinach,2023-01-06,133,37
Beans,2023-01-06,367,22
Apple,2023-01-06,202,31
Banana,2023-01-06,68,10
Mango,2023-01-06,314,49
Orange,2023-01-06,180,62
Papaya,2023-01-06,415,34
Grapes,2023-01-06,430,82
Tomato,2023-01-07,413,119
Potato,2023-01-07,68,17
Onion,2023-01-07,380,14
Carrot,2023-01-07,343,48
Cabbage,2023-01-07,150,89
Brinjal,2023-01-07,65,32
Cauliflower,2023-01-07,433,94
Spinach,2023-01-07,347,15
Beans,2023-01-07,207,114
Apple,2023-01-07,489,12
Banana,2023-01-07,370,113
Mango,2023-01-07,442,22
Orange,2023-01-07,414,117
Papaya,2023-01-07,415,89
Grapes,2023-01-07,289,110
Tomato,2023-01-08,56,114
Potato,2023-01-08,122,80
Onion,2023-01-08,499,62
Carrot,2023-01-08,364,19
Cabbage,2023-01-08,271,68
Brinjal,2023-01-08,121,117
Cauliflower,2023-01-08,186,67
Spinach,2023-01-08,199,44
Beans,2023-01-08,197,32
Apple,2023-01-08,376,20
Banana,2023-01-08,146,78
Mango,2023-01-08,120,43
Orange,2023-01-08,295,33
Papaya,2023-01-08,424,80
Grapes,2023-01-08,291,92
Tomato,2023-01-09,354,42
Potato,2023-01-09,214,14
Onion,2023-01-09,376,107
Carrot,2023-01-09,362,92
Cabbage,2023-01-09,136,65
Brinjal,2023-01-09,145,79
Cauliflower,2023-01-09,431,62
Spinach,2023-01-09,493,112
Beans,2023-01-09,136,95
Apple,2023-01-09,328,49
Banana,2023-01-09,197,44
Mango,2023-01-09,370,107
Orange,2023-01-09,53,101
Papaya,2023-01-09,80,12
Grapes,2023-01-09,356,54
Tomato,2023-01-10,64,21
Potato,2023-01-10,170,113
Onion,2023-01-10,264,85
Carrot,2023-01-10,484,119
Cabbage,2023-01-10,248,79
Brinjal,2023-01-10,162,67
Cauliflower,2023-01-10,249,74
Spinach,2023-01-10,248,95
Beans,2023-01-10,187,22
Apple,2023-01-10,143,26
Banana,2023-01-10,292,93
Mango,2023-01-10,307,104
Orange,2023-01-10,372,97
Papaya,2023-01-10,228,86
Grapes,2023-01-10,245,99
Tomato,2023-01-11,170,84
Potato,2023-01-11,170,18
Onion,2023-01-11,256,25
Carrot,2023-01-11,240,118
Cabbage,2023-01-11,186,79
Brinjal,2023-01-11,426,45
Cauliflower,2023-01-11,351,77
Spinach,2023-01-11,215,110
Beans,2023-01-11,154,107
Apple,2023-01-11,299,99
Banana,2023-01-11,92,66
Mango,2023-01-11,340,102
Orange,2023-01-11,464,30
Papaya,2023-01-11,245,56
Grapes,2023-01-11,247,65
Tomato,2023-01-12,328,18
Potato,2023-01-12,134,74
Onion,2023-01-12,411,17
Carrot,2023-01-12,462,31
Cabbage,2023-01-12,92,60
Brinjal,2023-01-12,131,54
Cauliflower,2023-01-12,133,17
Spinach,2023-01-12,153,70
Beans,2023-01-12,447,30
Apple,2023-01-12,287,68
Banana,2023-01-12,457,106
Mango,2023-01-12,471,57
Orange,2023-01-12,441,36
Papaya,2023-01-12,71,41
Grapes,2023-01-12,223,45
Tomato,2023-01-13,259,55
Potato,2023-01-13,142,14
Onion,2023-01-13,311,74
Carrot,2023-01-13,384,11
Cabbage,2023-01-13,414,88
Brinjal,2023-01-13,418,90
Cauliflower,2023-01-13,454,61
Spinach,2023-01-13,465,61
Beans,2023-01-13,108,24
Apple,2023-01-13,492,23
Banana,2023-01-13,214,83
Mango,2023-01-13,416,105
Orange,2023-01-13,450,41
Papaya,2023-01-13,77,66
Grapes,2023-01-13,177,15
Tomato,2023-01-14,315,32
Potato,2023-01-14,419,63
Onion,2023-01-14,90,21
Carrot,2023-01-14,231,14
Cabbage,2023-01-14,217,53
Brinjal,2023-01-14,343,27
Cauliflower,2023-01-14,153,109
Spinach,2023-01-14,345,37
Beans,2023-01-14,488,26
Apple,2023-01-14,94,87
Banana,2023-01-14,449,12
Mango,2023-01-14,196,89
Orange,2023-01-14,349,21
Papaya,2023-01-14,490,85
Grapes,2023-01-14,108,118
Tomato,2023-01-15,361,95
Potato,2023-01-15,221,57
Onion,2023-01-15,275,90
Carrot,2023-01-15,235,67
Cabbage,2023-01-15,383,97
Brinjal,2023-01-15,99,23
Cauliflower,2023-01-15,489,48
Spinach,2023-01-15,283,30
Beans,2023-01-15,172,60
Apple,2023-01-15,157,82
Banana,2023-01-15,415,48
Mango,2023-01-15,208,108
Orange,2023-01-15,259,115
Papaya,2023-01-15,169,16
Grapes,2023-01-15,376,67
Tomato,2023-01-16,180,48
Potato,2023-01-16,83,85
Onion,2023-01-16,340,70
Carrot,2023-01-16,296,58
Cabbage,2023-01-16,448,49
Brinjal,2023-01-16,57,78
Cauliflower,2023-01-16,371,42
Spinach,2023-01-16,315,80
Beans,2023-01-16,248,18
Apple,2023-01-16,352,25
Banana,2023-01-16,443,109
Mango,2023-01-16,442,93
Orange,2023-01-16,348,40
Papaya,2023-01-16,106,96
Grapes,2023-01-16,464,70
Tomato,2023-01-17,177,37
Potato,2023-01-17,377,42
Onion,2023-01-17,349,35
Carrot,2023-01-17,369,83
Cabbage,2023-01-17,228,64
Brinjal,2023-01-17,433,88
Cauliflower,2023-01-17,190,115
Spinach,2023-01-17,491,116
Beans,2023-01-17,440,56
Apple,2023-01-17,326,29
Banana,2023-01-17,290,58
Mango,2023-01-17,419,37
Orange,2023-01-17,299,45
Papaya,2023-01-17,57,87
Grapes,2023-01-17,432,93
Tomato,2023-01-18,483,65
Potato,2023-01-18,246,111
Onion,2023-01-18,181,58
Carrot,2023-01-18,407,68
Cabbage,2023-01-18,335,24
Brinjal,2023-01-18,243,109
Cauliflower,2023-01-18,227,42
Spinach,2023-01-18,116,101
Beans,2023-01-18,267,74
Apple,2023-01-18,454,76
Banana,2023-01-18,412,104
Mango,2023-01-18,424,99
Orange,2023-01-18,492,80
Papaya,2023-01-18,441,73
Grapes,2023-01-18,263,105
Tomato,2023-01-19,118,91
Potato,2023-01-19,359,29
Onion,2023-01-19,261,32
Carrot,2023-01-19,286,17
Cabbage,2023-01-19,221,25
Brinjal,2023-01-19,476,38
Cauliflower,2023-01-19,305,53
Spinach,2023-01-19,158,75
Beans,2023-01-19,399,56
Apple,2023-01-19,394,54
Banana,2023-01-19,75,104
Mango,2023-01-19,121,35
Orange,2023-01-19,120,14
Papaya,2023-01-19,170,36
Grapes,2023-01-19,263,94
Tomato,2023-01-20,118,21
Potato,2023-01-20,233,58
Onion,2023-01-20,467,24
Carrot,2023-01-20,326,70
Cabbage,2023-01-20,303,71
Brinjal,2023-01-20,166,38
Cauliflower,2023-01-20,170,43
Spinach,2023-01-20,60,22
Beans,2023-01-20,71,115
Apple,2023-01-20,468,43
Banana,2023-01-20,398,70
Mango,2023-01-20,81,41
Orange,2023-01-20,440,45
Papaya,2023-01-20,215,95
Grapes,2023-01-20,444,46
Tomato,2023-01-21,420,76
Potato,2023-01-21,156,90
Onion,2023-01-21,95,78
Carrot,2023-01-21,418,57
Cabbage,2023-01-21,82,11
Brinjal,2023-01-21,318,30
Cauliflower,2023-01-21,452,42
Spinach,2023-01-21,90,88
Beans,2023-01-21,495,61
Apple,2023-01-21,70,80
Banana,2023-01-21,159,108
Mango,2023-01-21,245,25
Orange,2023-01-21,333,11
Papaya,2023-01-21,403,93
Grapes,2023-01-21,268,36
Tomato,2023-01-22,334,36
Potato,2023-01-22,435,110
Onion,2023-01-22,345,90
Carrot,2023-01-22,287,67
Cabbage,2023-01-22,482,28
Brinjal,2023-01-22,438,84
Cauliflower,2023-01-22,134,106
Spinach,2023-01-22,130,44
Beans,2023-01-22,300,89
Apple,2023-01-22,497,51
Banana,2023-01-22,202,78
Mango,2023-01-22,319,86
Orange,2023-01-22,225,46
Papaya,2023-01-22,403,42
Grapes,2023-01-22,248,76
Tomato,2023-01-23,334,32
Potato,2023-01-23,58,73
Onion,2023-01-23,232,91
Carrot,2023-01-23,229,14
Cabbage,2023-01-23,66,97
Brinjal,2023-01-23,269,64
Cauliflower,2023-01-23,187,12
Spinach,2023-01-23,307,80
Beans,2023-01-23,398,63
Apple,2023-01-23,429,91
Banana,2023-01-23,309,25
Mango,2023-01-23,98,110
Orange,2023-01-23,474,54
Papaya,2023-01-23,69,48
Grapes,2023-01-23,257,51
Tomato,2023-01-24,220,61
Potato,2023-01-24,163,59
Onion,2023-01-24,414,102
Carrot,2023-01-24,346,95
Cabbage,2023-01-24,287,82
Brinjal,2023-01-24,272,87
Cauliflower,2023-01-24,110,20
Spinach,2023-01-24,278,38
Beans,2023-01-24,102,55
Apple,2023-01-24,252,104
Banana,2023-01-24,341,25
Mango,2023-01-24,111,106
Orange,2023-01-24,311,56
Papaya,2023-01-24,93,93
Grapes,2023-01-24,172,69
Tomato,2023-01-25,361,74
Potato,2023-01-25,56,102
Onion,2023-01-25,263,41
Carrot,2023-01-25,280,18
Cabbage,2023-01-25,240,93
Brinjal,2023-01-25,458,68
Cauliflower,2023-01-25,295,49
Spinach,2023-01-25,159,109
Beans,2023-01-25,487,22
Apple,2023-01-25,461,45
